,Context before,token,Context after,Sense
30,", x 1000 . [ 251 ] VII . The Stability of the Pear-Shaped Figure of Equilibrium of a Rotating",mass,"of Liquid . By G. H. Darwin , F.R.S. , Plumian Professor and Fellow of Trinity College , in the",N
31,being spheres . The object of all these investigations is to apply the formulae to a concrete example . The,mass,"of the system is therefore taken as equal to that of the sun , and the limit of the swarm",M
32,". ) . It also takes in the lower face , with the tongue ( tg . ) . The",mass,"of soft tissue under the olfactory lobes will be differentiated into the cribriform plate , the olfactory nerves passing through",N
33,"a certain period o\#177 ; their formation , become covered with a cold , non-luminous crust . If the glowing",mass,"bursts forth , the chemical combinations which have formed on the surface , under the influence of a low temperature",N
34,"Thus , when the heated wire is enveloped in a considerable body of gun-cotton , the ignition of the entire",mass,"is apparently not instantaneous , if attempted in a highly rarefied atmosphere , because the products of the combustion first",N
35,"but little difference . The vibrations of greatest wave-length are put in evidence , both in the compressible and incompressible",mass,", by the displacement of the surface . A vibration in which the displacement is proportional to a zonal harmonic",N
36,"9 and 10 . ) . Here , then , the posterior grey substance again consists only of a single",mass,", and again , also , the stubstantia gelatinosa extends uninterruptedly and nearly horizontally across from side to side .",N
37,"Allowing the light from a window to fall upon the ice at a suitable incidence , the interior of the",mass,"was found filled with little flower-shaped figures . Each flower had six petals , and at its centre was a",N
38,derived from the centrifugal force by means of the equation f= B'A ' 10 . The level surfaces of the,mass,"in equilibrium are properly the interior surfaces similar to the outer surface , and similarly posited about the common centre",N
39,thirty-five different kinds of wood : TABLE I. Name of wood . ~Deportment of Deportment of Name of wood .,mass,. structure Remarks . 1 . Beef-wood . Diamagnetic . Fibre equatorial . 2 . Black Ebony ... ... ...,N
40,"and more elegantly formed . The unossified auditory floor ( fig. 7 ) is now a more transverse , sub-oval",mass,", and the projecting , descending lip of the floor is very small ( Plate 11 , figs. 7 and",N
41,. It is clear therefore that the halogen atom cannot simply replace a hydrogen atom so that the centre of,mass,of the former occupies the same position as the latter . This follows from the fact that the mass is,M
42,"tension is to separate the contiguous particles , and thus produce a finite fissure , or a discontinuity in the",mass,. It is resisted by the normal cohesive power ; and in like manner the transverse or tangential action is,N
43,to mark ( in chain-dot ) on figs. 2 and 3 the outline of this Jacobian ellipsoid of the same,mass,as the dumb- bell . The actual vertex of the ellipsoid just falls outside the limits to which it was,M
44,"of azomethine are not singular in the fact that gelation starts from centres , and only slowly involves the whole",mass,", is proved by an observation made by me many years ago . A solution of silicic acid was dialysed",N
45,to bear this stress . We are thus led to inquire how the stresses are distributed in the earth 's,mass,", and what are their magnitudes . These points cannot be discussed without an hypothesis as to the interior constitution",M
46,"of which belongs to the "" ' atlas . "" Outside the carotid groove the periotic portion of the investing",mass,"becomes scooped into an oblong rounded sulcus . This sulcus has only a low wall in front , but is",N
47,"its outline is not so clearly defined as I could have wished , owing to the density of the vegetable",mass,"in which it is imbedded . I see traces of the lateral grooves , especially at k , but these",N
48,Internal nostril . i.sp . Inter-suspensorial . i.st . Inter-stapedial . i.tr . In ter trabecula . iv . Investing,mass,. 1 . Lacrymal . l.l. Lower labial . V- Labial fontanelle . l.v. Lower velum . lx . Larynx,N
49,"as we recede from the centre the number of small ones preponderates more and more , and thus the mean",mass,continually diminishes with increasing distance . The loss by evaporation falls principally on the small meteorites . A meteor swarm,M
50,"point to the atmospheric pressure p , . In such case water might pass from the upper surface through the",mass,", along any number of smooth tubes like those above described and communicating freely with each other . The pressure",N
51,"sizes . The granular masses are apparently nucleated in D. and E. A. Epithelioid cell , containing a small granular",mass,", and a nucleus . DR. H. WATNEY ON THE MINUTE ANATOMY OF THE THYMUS . 1113 Fig. 45 ,",N
52,"to show that when , and are allowed to take their natural values as determined by the configuration of the",mass,", this result is no longer true . The spherical symmetrical ement appears always to be stable . 2 .",N
53,to close in and accommodate the dimensions of the shell to those of the . nucleus beneath ; but the,mass,"is tlansferred , it is not lost ; and the transfer might hay no effect whatevel on the length of",M
54,") , its nucleated network was arranged in a connected series of arched radiations , which extended into the pyriform",mass,of grey substance on the same side ( b ) . From this substance another very evident series of separate,N
55,"of subarseniate of soda , dried by the spirit-lamp , was reduced to powder , and calcined anew with a",mass,"of carbonate of ammonia in the same crucible , so that the maximum absorption of carbonic acid ( as it",N
56,"the wrought-iron bars , when the conflagration had subsided . The brilliant yellow flame characteristic of the burning of a",mass,oi gun-cotton was not observed at any period throughout the experiment ; but about one hour after the fires were,N
57,"whether these small globules constitute the substance thrown out in inflammation , Mr. BAUER examIined a small portion of a",mass,"of coagulable lymph taken from the vagina of an ass , where it had been deposited by a violent attack",N
58,", as in equation ( 98 ) the former paper , be identical with constant . FIGUlffi OF A ATING",mass,OF LIQUID . Let us ourselves to the terms in } . Using the value of given by equatio1l (,N
59,"regular motion , we are certain that the mechanism of a glacier is continued within the small compass of a",mass,which may be conveniently examined in detail in all its parts . It is lodged in a niche of the,N
60,"prevailing pressure , the weight added during experiment . doparts from strict accuracy ] in so far as it unit",mass,"of water to occupy unit volume at the temperature the for lacement.\mdash ; In a many the vast of ,",M
61,"number depending upon the arrangement of the particles in the interior of the mass , M1 representing the earth 's",mass,", and a ' the present polar radius of the earth , which , without sensible error , may be",M
62,"; and when its position was reversed , its action was representative of that of a heated or relatively diamagnetic",mass,"of air . Bringing this helix into the vicinity of small magnetic needles , suspended either freely , or so",N
63,"a temperature which would just admit of the containing rock becoming solid , while it sufficed to preserve the fluid",mass,"in a state of fusion . Let us then suppose an elevatory force , produced by the expansion of the",N
64,"G , V ( r ) will represent the sum of the quotients of all the molecules of the whole",mass,"divided by their respective distances from a m ; let V ' ( r ) denote the same thing ,",N
65,middle part to the intertrabecula ( i.tr.).The orbital muscles ( or.m . ) are planted in chinks of the basal,mass,. This section is in front of the mouth and through the front of the upper lip ; there is,N
66,"diamagnetic body , on being raised or lowered , is alwaysfrom the equatorial to the axialposition . If the elongated",mass,"be magnetic , and the shortest dimension of the mass tend , in virtue of its structure , to set",N
67,") ) =-Pn)_ ) ; tl-t(n ) t(n)-4t ) p tt , -T t2--rT q The conductivity of the actual",mass,"being k , and the thickness H , we have t ( n ) ( n ) pH t ?",N
68,which influences the result remains the same : one conductor has simply been . substituted for another . The great,mass,"of the magnet might be supposed able to do something more than the thin wire , but the reason why",N
69,"of the dust cloud must have been considerably greater than that of any wind , for the weight of the",mass,", or rather its momentum , is high , owing to the density of the mixture of gases and of",M
70,"and therefore not necessarily destructive of cohesion , which may be termed a bruise . A glacier is not a",mass,"of fragments.-As the analogy of the glacier to a river , in which the fluid : principle is greatly in",COL
71,"added , and the whole was strongly heated , during half an hour , in a silver crucible . The",mass,"was then dissolved in distilled water , and , muriatic acid being added to excess , the liquor was evaporated",N
72,necessary to take notice of the perturbation of the sun . In consequence of the largeness of the sun 's,mass,it was not there requisite to make a complete investigation of the theory of a planet attended by a pair,M
73,"density . a. If the mass is colder than the ball , it repels the ball . h. If the",mass,"is hotter than the ball , it attracts the ball . "" II . When the ball is in a",N
74,"at the same time part of the quicksilver rises in its metallic form , and also part of the white",mass,", united in all probability to a greater proportion of acid than before , sublimes ; so that the rationale",N
75,"the foregoing pages . The very first experiment that I made on harbour-boats at Portsmouth , proved that a single",mass,"of iron protected fully and entirely many sheets of copper , whether in waves , tides , or currents ,",N
76,"an abundant one took place-lime water produced only slight turbidity , The muriate of soda amounted , in this saline",mass,"of fortyfive grains , to thirty-five grains , or nearly to one grain in 450 of expectorated matter ; the",N
77,far below the value to which our analysis has led . 56 . Consider the simplest problem of a spherical,mass,"at rest , the equations of equilibrium being where is the gravitation constant . If is the pressure at the",N
78,"tr . ) , from which the notochord ( nc.)is retreating , are obliquely marked off* from the newer investing",mass,"behind , which has not yet finished the occipital condyles nor even the occipital ring . Hence the fontanelle (",N
79,"simply adopted the first formula above given , which , as it supposes the density constant , will make the",mass,"of air traversed appear too small , producing in his results an accidental compensation of errors to which we shall",M
80,"ix . , plates 54 and 62.)* The nasal wall is beginning to bend inwards to make room for a",mass,"of subcutaneous follicles , which become collected into a glandular mass inside the inferior turbinal ( see figs. 6 and",COL
81,"to be unity . If the external potential of be , and if be an element of volume or of",mass,"of , the lost energy to be evaluated is integrated throughout the ellipsoid Let us suppose provisionally that the co-ordinates",M
82,"of the glacier . ( 3 ) Many glacial valleys become narrower as we descend them , and consequently the",mass,"of the glacier may enter each part of the valley as a wedge , and may frequently become more or",N
83,good model from which to study the behaviour of compressible masses has on the whole been fully confirmed . A,mass,"of incompressible matter , shrinking while rotating , will assume first the shape of a spheroid , then that of",N
84,that they are equal . The Measurement of Mass . 40 . Since it was not necessary to refer the,mass,"to a general standard , the weights used were only referred to a Board of Trade standard for convenience .",M
85,"it is proposed to treat in this paper , namlely , that relating to the figure of equilibrium of a",mass,"of fluid , the particles of which are subjected to the action of accelerating forces . This problem , suggested",M
86,When the temperature has fallen to the solidus Ic the alloy is a uniform solid solution . It is a,mass,"of crystals , chemically identical , but forming crystalline grains differently oriented and therefore showing , after etching , differences",N
87,showing diminuticu of mcan mnss centre to outside . SSOR G. H. DARWIN ON THL CHANICAL CONDITIONS The uation of,mass,"in the ) , where collisions are supposed to be non-existent , is not very difficult , although it ]",M
88,"cube was horizontal . Previous to heating the rocker , I laid it , according to practice , upon the",mass,", merely to ascertain whether the arrangement was likely to answer . To my astonishment a deep musical sound commenced",N
89,been able to satisfy myself whether the lower layer of the nucular membrane ( f ) passes under the cellular,mass,( p ) or whether it merely becomes merged in its cells . but I think that the former is,N
90,"defined in "" "" Harmonics S 5 . The Determincfhon of Gravity on ROCHE'S Ellipsoid . In ROCHE'S problem a",mass,"of liquid , which assumes approximately the form of an ellipsoid , revolves in a circular orbit about a distant",N
91,\#151 ; that the detonation of 0'5 ounce ( 14'2 grms. ) of compressed gun-cotton will induce that of another,mass,"of gun-cotton if separated from it by a tube , of a particular diameter and thickness , 2 feet in",N
92,foregoing experiments demonstrate that the rate at which detonation is transmitted THE HISTORY O EXPLOSIVE AGENTS . from mass to,mass,of dry compressed gun-cotton ( the individual masses being in actual contact with each other ) is between seventeen and,N
93,"direction of the line joining p and p ' . Definition ( GREEN).-This function , which , for a given",mass,", has a determinate value at any point , P , of space , is called the potential of the",N
94,"and we haveDistance of the middle from A , measured along the chord . Deflections , caused by a semi-cubic",mass,", 200 . i miles in each horizontal side , and 100 miles 379 miles . 581 miles . 781",N
95,that the quantity of heat which it receives from the rocker during contact is instantaneously distributed equally throughout its entire,mass,", then , although the total expansion might be very great , there would be no local expansion at all",N
96,"channels , and the relative velocities of the top and bottom , the sides and centre of such a pasty",mass,"were displayed by the alternating layers of two coloured pastes , which were successively poured in at the head of",N
97,"no coloration to the flame , and obstinately retained its fluorine to the last , as was shown by the",mass,giving the usual reaction of fluorine when treated on a glass plate with sulphuric acid . Conclusion . . These,N
98,and substance are uniformly at one and the same temperature . This interval of course varies with the nature and,mass,"of the substance . In accurate work sufficient interval must be left to leave no doubt on the matter ,",M
99,accord with the effects of induced currents . Time has great effect over results produced by currents induced in the,mass,", and none over those due to polarity . By this test the effects of the diamagnetic metals are found",N
100,"were held . Sooner or later the cohesion of the liquid was overcome , and from a spongy froth the",mass,"changed to a cloud of particles , mostly solid , hut , pei haps , m * MM . A.",N
101,", but such will not be the case . For the complete wedges , not reaching down to the fluid",mass,", will not be immediately acted upon by it at all , and the truncated wedges , whose narrower sides",N
102,in the opposite half of the nucleus across the central line at G. Many of themare evidently derived from a,mass,of epithelial cells situated at E between the bases of the posterior pyramids . The anterior portion of the spinal-accessory,N
103,is proper therefore that both in the construction of the ship and in the fixing of correctors ; no large,mass,of iron should be placed below the compass . The expression for disturbing force towards the ship 's head is,N
104,fifth nerve ( 5* ) . The bony bridge made by the prootics from the fore part of the investing,mass,"articulates in front with the "" basisphenoid "" ( Plate VII . fig. 4 b.s. ) , and behind with",N
105,"nucleus of the auditory nerve , and contains many cells of a larger kind . The inner side of the",mass,consists of an oval group of large multipolar cells of the same shape and size as those of the anterior,N
106,fluids and A if the density of A on the composite surface be put equal to that of A in,mass,". is the mass of A per unit area of surface . The part of the curve , of unknown",M
107,"bending . As we expected to determine the water equivalent with as much accuracy as other quantities , the large",mass,of the neter did not appear to be a serious objection . The whole of the calorimeter was heavily gilded,M
108,"to purify it , it is dissolved in alcohol , and the filtered liquid is evaporated . The residual fatty",mass,"is pressed between blotting-paper , in order to absorb as much as possible the more fluid portion , and it",N
109,"if ignited at the lower inner portion of the mass , where the part first inflamed is enclosed by the",mass,"of the material itself , it exerts a destructive force little inferior to that of the chloride of nitrogen enclosed",N
110,of temperature take place it is probably to be expected that it would be so rapidly diffused throughout the whole,mass,as to occasion no perceptible change in the relative distances of the microscopes from each other * . During our,N
111,"colours and spectra will be identical . If , hoover , the masses are very different , then the smaller",mass,will run through its changes at a much greater rate than the larger one . In this way it is,M
112,", which acts through the mnedium of the fl-uid of the Graafian vesicle . The particular structure originating that fleshy",mass,", I shall have occasion to refer to in connexion with the oorpus luteum ( par . 156 . )",N
113,"this directive action in the highest degree is carbonate of iron : when a lozenge , cloven from the crystalline",mass,", is suspended from the angle at which the crystallographic axis issues , there is great difficulty in causing the",N
114,"determine a large osmose , are , further , all of the class of chemically active substances , whilethe great",mass,"of neutral organic substances and perfectly neutral monobasic salts of the metals , such as the alkaline chlorides , possess",N
115,"carefully drawn enlargement of a portion of this branch-section . Here , again , we have at c the compact",mass,"of vessels forming the medullary axis , radiating from which we have a series of vascular wedges ( d )",N
116,"the wedges have assumed these positions , it ... ... .X~~~~~~ _ ~(2 . ) will be impossible for the",mass,"to subside , when the elevatory force shall cease , into that position which it originally occupied . It will",N
117,"effects obtained in those shell-experiments in which gun-cotton was employed , and the fact that detonation was transmitted from one",mass,"of compressed gun-cotton to another through small water-spaces under the conditions described at page 372 , led me to attempt",N
118,"2 \amp ; 3,8 ) passes out of the skull between the postero-internal face of the ear-sac and the investing",mass,"; it pierces the exoccipital in the adult . These latter bones present flat zygapophyses for the "" atlas ,",N
119,difficulty arises on account of the fact that on the new view there will be no constant relation between the,mass,"of a swarm and its brightness . When we see a "" star "" of a certain magnitude , we",M
120,"possible to take account of fracture and fusion in the mathematical , but the meteorites treated as being of invariable",mass,". . On the Velocity of Meteorites , on its Secular The velocity with which the meteorites move is derived",M
121,which can be assumed by compressible astronomical masses in rotation . The result announced in a previous paper*that the incompressible,mass,provides a good model from which to study the behaviour of compressible masses has on the whole been fully confirmed,N
122,"of ice of about 60 feet long , instead of 200 as in the former example . This supposes the",mass,"to slide freely over its bed , and the longitudinal pressure or tension to be the same behind as before",N
123,"At fig. 79 , which is an enlarged representation of the upper part of fig. 77 , we have a",mass,"of delicate parenchyma , seen on both sides of the seed , adhering to the inner wall of the lagenostome",N
124,"treating the queues d'aniline boiling above 330 ? with cold dilute sulphuric acid , separates as a yellowish semisolid crystalline",mass,", contaminated with considerable quantities of the oily sulphates of other bases . Ebullition with alcohol removes these substances pretty",N
125,"2F F'\d ) ' F\ die ) 1\dz)wherefore , FXkXw will be the impulse or pressure exerted by the small",mass,"kXw upon the small surface w , on which it insists . Again , the coordinates of the end of",N
126,section lying obliquely in a fold of palatal mucous membrane ; the edge of the left moiety of the investing,mass,seen beneath the notochord ( n.e. ) and in the floor of the mouth cartilages are seen either as ends,N
127,"as the force is mainly expended , in the first instance , in imparting motion to the particles of the",mass,", which becomes compressed , and thus reduced to a condition in which the particles offer great resistance to mechanical",M
128,"to remember that M is largest when the mass of iron is below , and may be negative if the",mass,of iron is nearly at the same level ; that N 184 will vanish if the mass of iron is,N
129,". "" The glacier struggles between a condition of fluidity and rigidity* . "" "" A glacier is not a",mass,"of solid ice , but a compound of ice and water more or less yielding , according to its state",N
130,"appear , at first sight , very anomalous : especially when we consider that the vibrating specific gravity of the",mass,", and the weight of the pendulum , are exactly alike in each case . But , it should be",N
131,"tissues , the transition from a corpuscle having the same appearance as a corpuscle of the blood , into a",mass,"of discs , was quite unequivocal , in colour and in form , as well as in the gradual appearance",N
132,"we have these regulated data contained in the following Table , from which are deduced , -1lst , the intercepted",mass,"of air ; 2nd , the mean temperature of the mass of air ; 3rd , its mean relative dampness",N
133,"extractive matter insoluble in alcohol . It had the appearance of a dark brown , amorphous , brittle , gum-like",mass,", opaque in thick layers , but translucent at the edges . It had a slightly acid and nauseous taste",N
134,"compose them ; but , when the mass is elongated , another action comes into play . Su ch a",mass,"being suspended with its length horizontal , the repulsion of its ends constitutes a mechanical couple which increases in power",N
135,"pons they decussate as usual with their fellows of the opposite side , the most anterior being imbedded in a",mass,"of grey substance ( y "" ' ) , which is denser , and . contains larger cells than that",N
136,". On examining such pieces I found them traversed by hazy surfaces of discontinuity , which divided the apparently continuous",mass,"into irregular prismatic segments . When examined by allowing the red light of a fire to cross it , such",N
137,"of boiling water , a mixture of amylamine and bromide of amyl is rapidly converted into a beautiful white crystalline",mass,"of hydrobromate of diamylamine , which is purified , and decomposed in the usual manner . When purified , diamylarmine",N
138,"to reveal it . But , of course , the contracted and the cleaned surfaces are in communication with the",mass,"of the liquid , and , if the substance used to contaminate the surface is at all miscible with water",N
139,"is six times the dimension at right angles to the axis , the attraction of the ends of such a",mass,"is sufficient to overcome the directive action due to structure , and to pull the crystal into the axial position",N
140,"some fluid , which may be conceived to be an elastic vapour , or , in other cases , a",mass,"of matter in a state of fusion from heat . Every geologist , I conceive , who admits the action",N
141,"of a gentle heat , the potassium took fire , andburnt with a beautiful red light ; and the whole",mass,"appeared in igneous fusion ; a little muriate of potash in the state of a white powder , sublimed and",N
142,"of the "" posterior clinoid wall "" ( p.cl . ) , where it is growing up from the investing",mass,"( i.v. ) . Between the moieties of this mass is seen the fore part of the "" posterior basicranial",N
143,"Let us first suppose , to take the simplest case , that the sun lyrhen cold will be a solid",mass,"of one pure element , i.e. , that the evolution brought about by reduction of temperatures shall be along hue",N
144,"eye-ball ( Plate 35 , fig. 7 , e. ) ; and here , the upper part of the chondrocranial",mass,"is thicker ; for it is in the ethmoidal region , and the olfactory nerves ( T. ) now run",N
145,"for that purpose . The pores of artificial graphite appear to be really so minute , that a gas in",mass,cannot penetrate the plate at all . It seems that molecules only can pass ; and they may be supposed,Q
146,"goes on very gradually , and after the lapse of several days , the mixture is converted into a solid",mass,". On the other hand , if the mixture be exposed for a minute or two to the temperature of",N
147,"fluctuations of temperature on the internal friction resemble those of mectJanical jarrings , such as would be produced when the",mass,"of the vibrator is altered , or even when the cylinders are shifted along the bar without any alteration of",M
148,"line AD , and have marked off certain divisions which indicate the Law of Dissection according to which the attracting",mass,is to be divided . From A several fainter lines are drawn dividing the attracting mass into lunes of 300,N
149,and in part returned . Condensation in the lower regions of the atmosphere is thereby prevented . But as the,mass,"ascends it passes through successive vapour-strata which diminish far more speedily in density than the associated strata of air ,",N
150,; 1 . The distance to which detonation may be transmitted through the agency of a tube to a distinct,mass,of explosive substance is regulated by the following conditions:\#151 ; ( a ) By the nature and the quantity of,N
151,"of a large pea , requires rather less than three ounces of water for its complete expansion , and a",mass,"of jelly equal in-bulk to three ounces is formed . This substance dried at atemperature of 212 ? , becomes",N
152,"two more ( posterior)'wings , the ossific matter of which is creeping into the anterior part of the broad investing",mass,"( Plate VIII . fig. 2 , p.r.p. ) . The "" rostrum "" ( Plate VIII . figs. 1",N
153,mountain mass . The reason of this coincidence it is not difficult to see . The highest part of the,mass,is much nearer to A than the middle of the mass is . Suppose the highest parts had been about,N
154,"instant we are speaking of , it would be just slch as not to admit of circulation , When the",mass,"should have arrived at this stage of the cooling , a change would take place in the process of solidification",N
155,to render its colour much darker than the white of dry chalk . Soon after it was taken from the,mass,"it weighed 4966*4 grains , and after being thoroughly dried by a fire for several days , it weighed 4154-1",N
156,"There are 9 lines falling between 4459*8 and 4450*4 , and with the dispersion used these lines appear as a",mass,". The lengths given in the Map , however , represent the contour of the top of the mass ,",COL
157,"other meteorological instruments at both stations , and the loss of solar heat in passing through the in ? tervening",mass,"of air was thus directly determined . In the fifth section , the observations made from sunrise to sunset ,",N
158,". ) , and part of the squamosal ( sq . ) . This bone is separated from the periotic",mass,by a quantity of the same kind of gelatinous tissue as that which fills the tympanic cavity . The space,N
159,"part are also contracted at their inner edge . This lateral retreat of the fore part of the "" investing",mass,"gives rise to RATIIKE'S posterior basicranial fontanelle "" ( p.b.f ) ; it is occupied along its mid",N
160,"nucleus , containing a very distinct nucleolus . ( 28 . ) Behind the olivary sac is a separate elongated",mass,composed of the same kind of cells ; and a similar but larger mass ( broken into parts by bundles,N
161,"these two metals , being extremely fusible , immediately flows , and is separated from the remaining part of the",mass,"of gold , provided that the original degree of heat be not very speedily checked ; but , when this",N
162,whether the behaviour of a rotating mass of compressible heterogeneous matter differs very widely from that of the incompressible homogeneous,mass,"which has been studied by MACLAURJN , JACOBI , POINCARE , and DARWIN . The result obtained can be summed",N
163,"coloured substance with potassium , there was a combination , but without any luminous appearance , and a gray metallic",mass,"was formed ; but from the effect of this upon water , I could not affirm that any oxygene had",N
164,"hand , and on the other , with the posterior roots of the nerves , which also interlace through the",mass,and sweep round on its outer side . Towards the upper end of the dorsal region the dark oval masses,N
165,investigation is now removed . I have defined the unit as the quantity of . heat required to raise unit,mass,"of water through C. the air thermometer at C. , and so much confusion has al'ison from ambiguity as to",M
166,the variable will only be inserted explicitly when it has any other value . In the present case Mv the,mass,"of the Jacobian ellipsoid , is M and it was shown in "" the Pear-shaped Figure "" that 9 .",M
167,"at the twenty-fiftht . "" Fourthly . That no information might be wanting as to the precise condition of the",mass,"of ice under experiment , I made a very minute examination of the state of the transverse line with respect",N
168,", is thick and oblique ; the medio-stapedial ( m.st.)is a strong , arched rod , having a large ovoidal",mass,"of cartilage on its upper fork , which , however , is not distinct as in the last kind .",N
169,"effect , it must be checked and distinguished by reference to the position of the commutator , division of the",mass,"by pulverization , influence of time , &c. It appears to me also , that , as the magnetic polarity",N
170,"which was again collected on a filter , dried and weighed . The alcohol left on evaporation a dark brown",mass,", the fatty nature of which showed that it contained rubiadipine in addition to rubiretine . Now I obtained from",N
171,"and moon . The coincidence is noted in the paper , that the shortest period of revolution of a fluid",mass,"of the same mean density as the earth , which is consistent with an ellipsoidal form of equilibrium , is",N
172,", however , be avoided by sealing up several portions of the chloride for analysis at once from a large",mass,"of liquid . The following seventeen determinations were most carefully made , and the numbers obtained , closely coinciding as",N
173,"of facial arches , and which enclose the fore part of the membranous sac , just as the "" investing",mass,of the cranial part of the notochord invests the hinder part . 4th . The ear-sacs and the olfactory,N
174,MW+. . j.2}-r^aEE(8os M ' and I ' standing for the mass and moment of inertia respectively of the whole,mass,"composed of the fluid stratum and solid spheroid . This becomes , on developing r , Ml a2 and making",N
175,"in round nunnbers . But the Earth 's mass is grammes , and therefore the meteorites are onetwentieth of the",mass,"of the Earth . It follows , therefore , that , with such small masses as those with which the",M
176,"also calculnted . by the method of S19 of the present paper , and found FIGURE OF EQUILIBRIUM OF ROTATING",mass,OF LIQUID . It follows that the moment of momentum is give by . Thus so that the moment of,N
177,"when the ship 's head is N.E. , S.E. , S.W. or N.W. 79 For the same ship , the",mass,"of unmagnetized iron , if adjusted at one port , will produce its due effect at all parts of the",N
